id,name,speciality,taste,medicine type,passing,have,effect
25,jab laox liaod佳力略（钩藤）,热,微甜,热药,冷经、哑经,,hxub hxad kid旭嘎凯（清热）、ves sand维汕（平肝）、pot wos jent迫喔劫（熄风）
26,gangb kub岗叩（螟蚣）,热,辛,热药,冷经,毒,dias jent 滇劫（祛风）、tad jab沓痂（解毒）
27,姜蚕,,,,,,补气、补血、排毒
28,jab laox liaod佳力略（钩藤）,热,微甜,热药,冷经,,hxub hxad kid旭嘎凯（清热）、止痛
29,jab zend ghab nex waix佳珍嘎佬苑（果上叶）,热,甜、淡,热药,冷经,,yis hvent tit hfud nais pob怡渥替复奈波（养阴清热）、生津止带
30,ghab nex vob xangt det嘎老萬相豆（大青叶）,冷,苦,冷药,热经,,hxub hxab kid cafnet旭嘎凯滁内（清热利湿）、senb hx- angd tad jab赊象沓痂（凉血解毒）
31,jab laox liaod佳力略（钩藤）,冷,甜,冷药,热经、哑经,,ves sand维汕（平肝）、pot wos jent迫喔劫（熄风）
32,bes sok芍药（白芍）,冷,苦,冷药,热经,,养血柔肝、止眩
33,ghab jiongb nfib嘎炯菲（葛根）,热,甜,热药,冷经,,tad biaox hxub hxab kib沓标旭嘎凯（解表退热）、qeb jind dangf ngas ghongd曲靳挡嘎候（生津止渴）
34,蝉衣,,,,,,疏风散寒
35,bangx vob hvid 榜萬芜（菊花）,冷,苦,冷药,热经、快经、半边经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
36,ghok wouf nind高立日（天麻）,平,淡,两经药,,,熄风止痉、平肝抑阳
37,det vob gangb豆萬岗（桑叶）,冷,苦,冷药,热经,,疏散风热、清肝明目、清肺润燥、khand vat sand bud diol吾汗汕布丢（补肝补肾）
38,jab laox liaod佳力略（钩藤）,热,微甜,热药,冷经,,hxub hxad kid旭嘎凯（清热）、止痛
39,bes sok芍药（白芍）,冷,苦,冷药,热经,,养血柔肝、止痛
40,黄苓,,,,,,清热止血
41,ghab bob det vob嘎葆豆萬（木防己）,冷,苦,冷药,热经,,dias jent dangt mongd滇劫挡蒙（祛风止痛）、vas eb yangk angl洼沃泱安（利水消肿）
42,vob had萬哈（姜黄）,冷,麻、辣带苦,冷药,热经,,hangb bongt hxib ghuk沆笨洗咕（行气破瘀）、ves hxia dangf mongb维洗挡蒙（通经止痛）
43,ghab bas hlatjongb嘎罢嗟炯（菟丝子）,热,甜,热药,冷经,,bud diub dsangb got lol布丢肾戈洛（补肾固涩）、ves hxid jongt dail hsongd维洗炯带松（补骨强筋）
44,kaid vud凯欧（黄精）,热,甜,热药,冷经,,bud bongt qeb jind布笨曲靳（补气养水）、maix dliangl maix ves nait bud bongt麦靓麦韦芳布笨（健脾益气）
45,vob qangd niul萬强牛（续断）,热,甜,热药,冷经,,bud diuf khand vut sand布丢汗吴汕（补肝肾）、bud hsongd布冲（补骨）
46,jab ob gid dad佳萬千地（小夜关门）,冷,苦,冷药,热经,,hxub hxab kib cat net旭嘎凯滁内（清热利湿止呕）
47,gangb kub岗叩（螟蚣）,热,辛,热药,冷经,毒,dias jent 滇劫（祛风）、tad jab沓痂（解毒）
48,gangb lial lib岗拉俚（蝉蜕）,热,甜,热药,冷经,,pot wos jent zangl zet迫喔劫漳止（疏风散热）
49,jab laox liaod佳力略（钩藤）,热,微甜,热药,冷经,,hxub hx- ad kid旭嘎凯（清热）、止痛
50,ghab net det jenl嘎佬豆金（山枝茶）,冷,苦、辣,冷药,热经,,Iangf dangf宕挡（镇静）、dins vangx diongk停网亭（安神）
51,夜寒苏,,,,,,补气补血
52,vob gel gangb qangk葛给干枪（地锦草）,冷,苦涩,冷药,热经,,maix dliangl maix ves nait caf net麦靓麦韦为滁内（健脾利湿）
53,泡参,,,,,,补血补气
54,vob gent bib萬梗比（鹅不食草）,热,辣,热药,冷经,,dat wos jent zangl seil迫喔劫漳射（通窍散寒）、dias jent caf net滇劫除内（祛风除湿）
55,ghok wouf nind娜学欧（天麻）,平,淡,两经药,,,熄风止痉、平肝抑阳、祛风通络
56,jab laox liaod佳力略（钩藤）,热,微甜,热药,冷经、哑经,,hxub hxad kid旭嘎凯（清热）、ves sand维汕（平肝）、pot wos jent迫喔劫（熄风）
57,det jenl ib机衣（女贞子）,冷,苦、 涩,冷药,热经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
58,bes sok芍药（白芍）,冷,苦,冷药,热经,,养血柔肝、止眩
59,jab heib khob佳灰柯（头晕药）,热,辣,热药,冷经、 快经、半边经,,tad biaox zangl seil沓标漳射（解表散寒）、hxub hxab sand yis hvent旭嘎汕怡渥（平肝养阴）、vex hxangd维象（活血）
60,ghab bas hlat jongb嘎罢嗟炯（菟丝子）,热,甜,热药,冷经,,bud diub dsangb got lol布丢肾戈洛（补肾固涩）
61,灵芝,,,,,,养心安神
62,vob hmak vongx萬朴翁（夜交藤）,热,甜、微涩,热药,冷经,,khand vat sand diuf汗吾尤布丢（滋补肝肾）、yis hxangd怡象（养精血）
63,vob hmak vongx葛朴翁（何首乌）,热,甜、微涩,热药,冷经,,khand vat sand diuf汗吾尤布丢（滋补肝肾）、yis hxangd怡象（养精血）
64,det vob gangb豆萬岗（桑基）,热,甜,热药,冷经,,滋阴养血、补肝益肾、khand vat sand bud diol汗吾汕布丢（补肝补肾）、bangx vob hvid榜萬芜（菊花）、性冷、味苦、属冷药、入热经、快经、半边经、hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
65,vob bad nigax葛坝仰（夏枯草）,冷,苦、微辛,冷药,热经,,ves sand fangx hniub mais维汕访淄麻（清肝止头晕）
66,kaid vud凯欧（黄精）,热,甜,热药,冷经,,bud bongt qeb jind布笨曲靳（补气养水）、maix dliangl maix ves nait bud bongt麦靓麦韦芳布笨（健脾益气）、qeb jind rek hfad nais pob曲靳任复奈波（滋阴）
67,zend lei珍陆（梔子）,冷,苦,冷药,热经,,caf net滁内（利湿）
68,jab ob bit jit nex佳葛遍尖脑（半枝莲）,冷,苦,冷药,热经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
69,vob nil lios bad葛里略坝（瓜子金）,冷,苦、微辛,冷药,热经,,宁心安神、止眩
70,vob bex teb xot萬布套学（血人参）,热,涩、微苦,热药,冷经,,滋阴补肾、补气涩血
71,屁lik娜丽（山药）,热,甜,热药,冷经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）、tit bongt替笨（理气）
72,jab eb wof佳欧芜（党参）,热,甜,热药,冷经,,yis gub bud bongt怡迄布苯（补中益气）、maix dliangl maix ves nait麦靓麦韦芳（健脾）
73,det vob gangb豆萬岗（桑甚）,热,甜,热药,冷经,,滋阴养血、补肝益肾、生津
74,det def vud豆斗欧（草决明）,冷,苦,冷药,热经,,khand vat sand汗吾（清肝）
75,vob gangx liongt萬巩料（虎杖）,冷,苦,冷药,热经,,hxub hxab kib caf net旭嘎凯滁内（清热利湿）、zangl diod hxangd hxangd yangx漳丢象象律（散瘀活血）
76,Zend fangx hxangt珍访象（山楂）,热,甜、微酸,热药,冷经,,平肝止痛
77,det dent豆顿（杜仲）,热,甜,热药,冷经,,bud sand bud diuf补汕补丢（补肝肾）
78,bangx vob hvid榜萬芜（菊花）,冷,苦,冷药,热经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
79,kod las科辣（制半夏）,热,麻、辣,热药,冷经,,yangx nex di- asghab ngal泱内滇哈格（燥湿化痰）
80,vob nil lios bad萬里略坝（瓜子金）,冷,苦,冷药,热经,,jul ghad ngol dangf ngol阶哈格格挡哦（祛痰）
81,vob ghanb nail萬嘎勒（蜘蛛香）,热,麻、辣,热药,冷经,,tit bongt替笨（理气）、tat jab沓痂（解毒）
82,det eb nix豆跃里（佩兰）,热,辛,热药,冷经,,醒脾、化湿、清暑
83,竹茹,,,,,,降逆
84,bes sok芍药（白芍）,冷,苦,冷药,热经,,养血柔肝
85,zend lei珍陆（梔子）,冷,苦,冷药,热经,,平肝、tad jab沓痂（解毒）
86,zend fangx hxangt珍访象（山楂）,热,甜、微酸,热药,冷经,,消食化积
87,vob bad nigax萬坝仰（夏枯草）,冷,苦、微辛,冷药,热经,,ves sand维汕（清肝）
88,det dent豆顿（杜仲）,热,甜,热药,冷经,,bud sand bud diuf补汕补丢（补肝肾）、jongt dail hsongd炯带松（壮筋骨）
89,bangx vob hvid榜萬芜（菊花）,冷,苦,冷药,热经、快经、半边经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
90,det def vud豆斗欧（草决明）,冷,苦,冷药,热经,,khand vat sand汗吾（清肝）
91,vob gangx liongt萬巩料（酸汤杆）,冷,苦,冷药,热经,,hxub hxab kib caf net旭嘎凯滁内（清热利湿）、zangl diod hxangd hxangd yangx漳丢象象烽（散瘀活血）
92,vob dak diangd萬达尚（驾尾）,冷,苦,冷药,热经,小毒,dlax kid拉凯（泻热）
93,生石膏,,,,,,清胃热
94,jab vob gax nix佳葛姣米（蕾香）,热,辛,热药,冷经,,hxub hxab kid tat biaox旭嘎凯沓标（清热解表）
95,荷叶,,,,,,清心除烦
96,西瓜皮、苦瓜叶,,,,,,清热解毒
97,nangx fangx yut朗访幼（石斛）,热,甜,热药,冷经,,滋阴除热、养胃生津
98,niangx ghab nex gix仰格陇给（淡竹叶）,冷,淡,冷药,热经,,hxub hxab kib caf mond旭嘎凯滁穆（清热除烦）
99,绿豆,,,,,,清热解毒
100,ghab jongx nib det diol嘎炯令豆得（水冬瓜皮）,热,辛、微苦,热药,冷经、半边经,,ves hxangd yangx维象洋（活血）
101,香蕾,,,,,,解暑解表、解毒避秽
102,西瓜皮,,,,,,和中
103,ngix gheib ghad仰抵嘎（沙参）,热,甜,热药,冷经,,养阴
104,gheib jab let姬佳诺（阳雀花）,热,淡甜、微辛,热药,冷经,,bud bongt yis hxent布笨怡渥（补气养阴）
105,荷叶,,,,,,清心除烦
106,det vob gangb豆葛岗（鲜桑叶）,冷,苦,冷药,热经,,疏散风热、清肺润燥、khand vat sand bud diol吾汗汕布丢（补肝补肾阴）、cat net滁内（除湿）
107,鲜竹叶心,,,,,,清心
108,vob nail lies葛芮榴（鱼輙串）,冷,苦,冷药,热经、快经,,tit bongt hxib nongx替笨洗侬（理气消食）、caf net滁内（利湿）
109,vob hmid niangx萬米仰（马齿菟）,冷,酸、微苦涩,冷药,热经,,tad jab沓痂（解毒）
110,zend bel eob珍布渴（刺梨根）,热,酸、微涩,热药,冷经,,hxib nongx maix diangl mais ves nait洗侬麦靓麦韦芳（消食健脾）
111,土香鬻,,,,,,解暑解表、解毒避秽
112,det jenl ib鸡衣（苦丁茶）,冷,苦、 涩,冷药,热经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
113,niangx ghab nex gix仰格陇给（淡竹叶）,冷,淡,冷药,热经,,hxub hxab kib caf mond旭嘎凯滁穆（清热除烦）
114,陈皮,,,,,,清热
115,det bix hek hab fangt豆比吼哈枪（三颗针）,冷,苦,冷药,热经,,hxub hxab kid reb zaok旭嘎凯任早（清热燥湿）、baix dul tad jab摆都沓痂（泻火解毒）
116,vob hald ghad dliangb萬吼嘎抖（贯仲）,冷,苦,冷药,热经,,hxub hxab kid tad jab旭嘎凯沓痂（去热去毒）、senb hxangd dangf hxangd滲象挡象（凉血）
117,ghab hnid vud嘎欧底（苏叶）,热,辛,热药,冷经,,
118,jab liub hxangd佳榴腔（土升麻）,热,辛,热药,冷经,,ves hxid seix loud维洗赊洛（疏筋活络）、提升
119,v°b dliangb dlik hniub嘎恨萬相学（牛莠）,冷,苦,冷药,热经,,pot wos jent zangl zet迫喔劫漳止（疏散风热）
120,vob khok ed萬壳欧（薄荷）,热,辛,热药,冷经,,pot wos jent zangl zet迫喔劫漳止（疏散风热）
121,dlob pit diek舒比丢（鬼箭羽）,冷,苦,冷药,热经,,陥ix loud 赊洛（通经）
122,ghab nex vob xangt det嘎老房相豆（大青叶）,冷,苦,冷药,热经,,hxub hxab kid caf net旭嘎凯滁内（清热利湿）、senb hxangd tad jab赊象沓痂（凉血解毒）
123,youb gangb茹岗（桑叶）,冷,苦,冷药,热经,,
124,bang jab hxangd榜佳腔（金银花）,热,甜、微涩,热药,冷经,,senb hxangd赊象（凉血）
125,vob dliangb dlik hniub嘎恨房相学（大力子）,冷,苦,冷药,热经,,pot wos jent zangl zet迫喔劫漳止（疏散风热）
126,vob khok ed萬壳欧（薄荷）,热,辛,热药,冷经,,pot wos jent zangl zet迫喔劫漳止（疏散风热）
127,youb gangb茹岗（桑叶）,冷,苦,冷药,热经,,
128,vob dliangb dlik hniub嘎恨萬相学（大力子）,冷,苦,冷药,热经,,pot wos jent zangl zet迫喔劫漳止（疏散风热）、xeeb hfad nais卸复奈（宣肺）
129,ghab jiongb nfib嘎炯菲（葛根）,热,甜,热药,冷经,,tad bi- aox hxub hxab kib沓标旭嘎凯（解表退热）、qeb jind dangf ngas ghongd曲靳挡嘎候（生津止渴）
130,jab eb wal nangl佳欧万朗（蛇倒退）,热,酸、微涩,热药,冷经,,hxub hxab kid tad jab旭嘎凯沓痂（清热解毒）
131,jab heib khob加灰柯（头晕药）,热,辣,热药,冷经、快经、半边经,,tad biaox zangl seil沓标漳射（解表散寒）、vex hxangd yangk angt维象泱安（活血消肿）
132,防风,,,,,,驱风散热
133,ghab nex vob xangt det嘎老萬相豆（大青木）,冷,苦,冷药,热经,,hxub hxab kid caf net旭嘎凯滁内（清热利湿）、senb hxangd tad jab赊象沓痂（凉血解毒）
134,det eb nix豆跃里（佩兰）,热,辛,热药,冷经,,
135,det bix hek hab qangt豆比吼哈枪（三颗针）,冷,苦,冷药,热经,,hxub hxab kid reb zaok旭嘎凯任早（清热燥湿）、baix dul tad jab摆都沓痂（泻火解毒）
136,jab vob gax nix佳萬姣米（蕾香）,热,辛,热药,冷经,,hxub hxab kid tat biaox旭嘎凯沓标（清热解表）、kxed dionb yangx nex荷桐泱内（温中化湿）
137,gangh nangb jonb岗郎炯（地龙）,热,咸,热药,冷经、快经,,hxub hxab kib旭嘎凯（清热）、ves sand ves loud维汕维洛（疏筋活络）
138,板蓝根,,,,,,退热驱毒
139,hmaib det nail潘豆芳（十大功劳）,冷,苦,冷药,热经,,dlax kid tad jab拉凯沓痂（泻火解毒）
140,ghab nex vob xangt det嘎老萬相豆（大青木）,冷,苦,冷药,热经,,hxub hxab kid caf net旭嘎凯滁内（清热利湿）、senb hxangd tad jab赊象沓痂（凉血解毒）
141,zend jab ngil diongd姜加莪董（麦冬）,热,甜,热药,冷经,,khangd vut hvent qeb jind汗吾渥曲靳（滋阴生津）
142,vob khok ed葛壳欧（薄荷）,热,辛,热药,冷经,,pot wos jent zangl zet迫喔劫漳止（疏散风热）
143,bang jab hxangd榜佳腔（金银花）,冷,微苦,冷药,热经,,hxab hxad kib tat jab旭嘎凯沓痂（清热解毒）、senb hxangd赊象（凉血）
144,vob nix ngol葛里略（小连翘）,冷,苦、微辛,冷药,热经,,zangl diod hxangd yangk angt漳丢象泱安（散瘀消肿）
145,ghab hnid vud嘎欧底（紫苏）,热,辛,热药,冷经,,hangb bongt ghangb yab沆笨夯宇（行气宽中）、sul hxangl素象（活血）
146,vob liof萬疗（辣蓼）,冷,苦,冷药,热经,,dias jent caf net滇劫滁内（祛风化湿）、dias diod hxangd滇丢象（散瘀）
147,niangx ghab nex gix仰格陇给（淡竹叶）,冷,淡,冷药,热经,,hxub hxab kib caf mond旭嘎凯滁穆（清热除烦）
148,niangx hsaob nil仰造里（水螟蚣）,冷,辣,冷药,热经,,pat wos jent caf net滇劫滁内（祛风利湿）
149,jab eb wok佳欧雾（水杨柳）,冷,苦,冷药,热经,,hxub hxad kib tad jab旭嘎凯沓痂（清热解毒）、vas eb洼欧（利水）
150,det vil gheib豆野给（白马骨）,平,淡、微甜,两经药,,,hxub hxad kid tad jab旭嘎凯沓痂（清热解毒）
151,萬额（大青叶）,冷,苦,冷药,热经,,hxub hxab kid caf net旭嘎凯滁内（清热利湿）、senb hxangd tad jab赊象沓痂（凉血解毒）
152,bang jab hxangd榜佳腔（金银花）,热,甜、微涩,热药,冷经,,hxub hxad kid tad jab旭嘎凯沓痂（清热解毒）、senb hxangd赊象（凉血）
153,ghab jiongb nfib嘎炯菲（葛根）,热,甜,热药,冷经,,tad biaox hxub hxab kib沓标旭嘎凯（解表退热）、qeb jind dangf ngas ghongd曲靳挡嘎候（生津止渴）
154,nangb al pid莱阿遍（络石藤）,冷,苦,冷药,热经,,dias jent scix loud滇劫赊洛（祛风通络）、vex hxangd维象（活血）
155,萬额（大青叶）,冷,苦,冷药,热经,,hxub hxab kid caf net旭嘎凯滁内（清热利湿）、senb hxangd tad jab赊象沓痂（凉血解毒）
156,det vob gangb 豆萬岗（桑叶）,冷,苦,冷药,热经,,疏散风热、清肺润燥、dias jent cat net滇劫滁内（祛风化湿）
157,jax zengd git佳姜给（荆芥）,热,辣,热药,冷经、快经、半边经,,dias jent滇劫（祛风）、seix loud赊洛（通经）
158,hmaib det nail潘豆芳（十大功劳）,冷,苦,冷药,热经,,dlax kid tad jab拉凯沓痂（泻火解毒）
159,vob dliangb dlik hniub嘎恨萬相学（大力子）,冷,苦,冷药,热经,,pot wos jent zangl zet迫喔劫漳止（疏散风热）
160,Zend lei珍陆（梔子）,冷,苦,冷药,热经,,dlax kid tad jab拉凯沓痂（泻火解毒）、hxub hxad kib caf net旭嘎凯滁内（清热化湿）
161,jab hsenk hsongd佳兴松（白毛夏枯草）,冷,苦,冷药,热经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
162,bang jab hxangd榜佳腔（金银花）,冷,微苦,冷药,热经,,hxab hxad kib tat jab旭嘎凯沓痂（清热解毒）
163,vob hald ghad dliangb萬吼嘎抖（贯众）,冷,苦,冷药,热经,,hxub hxab kid tad jab旭嘎凯沓痂（去热去毒）、senb hxangd dangf hxangd 滲象挡象（凉血）
164,紫草,,,,,,退热、生肌
165,nangx fangx yut朗访幼（石斛）,热,甜,热药,冷经,,滋阴除热、养胃生津
166,水灯草,,,,,,清热解毒
167,laxgt hxangt hlat朗象刹（南蛇藤）,热,麻、辣,热药,冷经,,yangk angt tad jab泱安沓痂（降火）
168,vob dub萬莞（青蒿）,冷,苦,冷药,热经,,hxub hxab kib senb hxangd沓凯赊象（清热凉血）
169,niangx ghab nex gix仰格陇给（淡竹叶）,冷,淡,冷药,热经,,hxub hxab kib caf mond旭嘎凯滁穆（清热除烦）、dangf ngol dangf od挡苟挡沃（化痰止咳）
170,vob dliangb dlik hniub嘎恨萬相学（大力子）,冷,苦,冷药,热经,,pot wos jent zangl zet迫喔劫漳止（疏散风热）、xeeb hfad nais pob yut卸复奈波雾（宣肺）
171,ghab ngid vud嘎欧低（苏叶）,热,辛,热药,冷经,,发汗、dias ghab ngol xeeb hfud nais pob滇给格卸复奈波（化痰利肺）
172,bangx vob hvid榜萬芜（菊花）,冷,苦,冷药,热经、快经、半边经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）
173,det vob gangb豆萬岗（桑叶）,冷,苦,冷药,热经,,疏散风热、清肺润燥
174,vob hald ghad dliangb葛吼嘎抖（贯众）,冷,苦,冷药,热经,,hxub hxab kid tad jab旭嘎凯沓痂（去热去毒）、senb hxangd dangf hxangd滲象挡象（凉血）
175,ghab jiongb nfib嘎炯菲（葛根）,热,甜,热药,冷经,,tad biaox hxub hxab kib沓标旭嘎凯（解表退热）、qeb jind dangf ngas ghongd曲靳挡嘎候（生津止渴）◎
176,suaib mib mib秋咪咪（酸咪咪）,热,酸,热药,冷经,,hxub hxab kib caf net旭嘎凯滁内（清热化湿）、senb hxangd赊象（凉血）、tat jab diod hxangd沓痂丢象（解毒散瘀）
177,jab heib khob加灰柯（头晕药）,热,辣,热药,冷经、快经、半边经,,tad biaox zangl seil沓标漳射（解表散寒）、hxub hxab sand yis hvent旭嘎汕怡渥（平肝养阴）
178,vob dliangb dlik hniub嘎恨萬相学（大力子）,冷,苦,冷药,热经,,pot wos jent zangl zet迫喔劫漳止（疏散风热）
179,vob khok ed萬壳欧（薄荷）,热,辛,热药,冷经,,pot wos jent zangl zet迫喔劫漳止（疏散风热）、hxub hxab vas ngangl ghongd旭嘎洼嘎宏（清利咽喉）
180,det vob gangb豆萬岗（桑叶）,冷,苦,冷药,热经,,疏散风热、清肺润燥
181,vob nix ngol葛你掠（过路黄）,冷,涩,冷药,热经,,ves hangd yangx diod hxangd维象洋丢象（活血止带）
182,bang jab hxangd榜佳腔（金银花）,热,甜、微涩,热药,冷经,,senb hxangd赊象（凉血）
183,ghab nex vob xangt det嘎老萬相豆（大青叶）,冷,苦,冷药,热经,,hxub hxab kid caf net旭嘎凯滁内（清热化湿）、senb hxangd tad jab赊象沓痂（凉血解毒）
184,生石膏,,,,,,清胃热
185,nangx fangx yut朗访幼（石斛）,热,甜,热药,冷经,,滋阴除热、养胃生津
186,vob yux vub萬油欧（野油菜）,热,麻,热药,冷经,,dias ghab ngol dangf ngol滇哈格挡苟（祛痰止咳）tad biaox zangl scil沓标漳射（解表散寒）
187,jab vob gax nix佳葛姣米（養香）,热,辛,热药,冷经,,hxub hxab kid tat biaox旭嘎凯沓标（清热解表）
188,det eb nix豆跃里（佩兰）,热,辛,热药,冷经,,醒脾、化湿
189,zangd jangx珍姜（木姜子）,热,辛、微辣,热药,冷经,,hangb bongt dangf mongd沆笨挡蒙（顺气止痛）
190,jab box vib佳保耶（石菖蒲）,热,麻、辣,热药,冷经,,
191,bang jab hxangd榜佳腔（金银花）,热,甜、微涩,热药,冷经,,senb hxangd赊象（凉血）
192,nex gix闹格（玉竹）,热,甜,热药,冷经,,khangd vut hvent reb zaok汗吾窝任早（养阴润燥）、geb jind dangt ngas ghongd曲靳挡嘎候（生津止渴）
193,葛额（大青叶）,冷,苦,冷药,热经,,hxub hxab kid caf net旭嘎凯滁内（清热化湿）、senb hxangd tad jab赊象沓痂（凉血解毒）
194,vob hald ghad dliangb茵吼嘎抖（贯众）,冷,苦,冷药,热经,,hxub hxab kid tad jab旭嘎凯沓痂（去热去毒）、senb hxangd dangf hxangd滲象挡象（凉血）
195,vob bik seix nlieb葛比赊幼（金钱草）,冷,苦、微辛,冷药,热经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）、zaok net 造内（利水）
196,vob nix ngol萬里略（连翘）,冷,苦、微辛,冷药,热经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）、senb hxangd dangf hxangd赊象挡象（凉血止血）
197,det bix hek hab qangt豆比吼哈枪（三颗针）,冷,苦,冷药,热经,,hxub hxab kid reb zaok旭嘎凯任早（清热燥湿）、baix dul tad jab 摆都沓痂（泻火解毒）
198,det eb nix豆跃里（佩兰）,热,辛,热药,冷经,,醒脾、化湿、清暑
199,芦根,,,,,,清热化湿
200,det jenl ib机衣（苦丁茶）,冷,苦、涩,冷药,热经,,hxub hxab kib tad jab 旭嘎凯沓痂（清热解毒）
201,det vob gangb豆萬岗（桑叶）,冷,苦,冷药,热经,,疏散风热、清肺润燥、khand vat sand bud diol吾汗汕布丢（补肝补肾）
202,niangx ghab nex gix仰格陇给（淡竹叶）,冷,淡,冷药,热经,,hxub hxab kib caf mond 旭嘎凯滁穆（清热除烦）、dangf ngol 挡苟（化痰）
203,ghab jongx nib det diol 嘎炯令豆得（水冬瓜根皮）,热,辛、微苦,热药,冷经、半边经,,清热除烦
204,vob nail lies bad葛莎略芭（一枝黄花）,冷,苦,冷药,热经,小毒,pat wos jent hxub hxad kid迫喔劫旭嘎凯（疏风清热）、tat jab沓痂（解毒）
205,ghab jiongb nfib嘎炯菲（葛根）,热,甜,热药,冷经,,tad biaox hxub hxab kib沓标旭嘎凯（解表退热）、qeb jind dangf ngas ghongd曲靳挡嘎候（生津止渴）
206,nangx fangx yut朗访幼（石斛）,热,甜,热药,冷经,,滋阴除热、养胃生津
207,jab vob gax nix佳萬姣米（蕾香）,热,辛,热药,冷经,,hxub hxab kid tat biaox旭嘎凯沓标（清热解表）、kxed dionb yangx nex荷桐泱内（温中化湿）
208,vob khok ed萬壳欧（薄荷）,热,辛,热药,冷经,,pot wos jent zangl zet迫喔劫漳止（疏散风热）、hxub hxab vas ngangl ghongd旭嘎洼嘎宏（清利咽喉）
209,苦瓜叶,,,,,,清热滋阴泻火
210,vob diuk萬丢（鱼腥草）,热,酸、涩,热药,冷经,,hxub hxab kid tad jab旭嘎凯沓痂（清热解毒）
211,lax lik娜丽（山药）,热,甜,热药,冷经,,hxub hxab kib tad jab旭嘎凯沓痂（清热解毒）、健脾益气
212,bad god tid波嘎梯（百合）,热,甜、微苦,热药,冷经,,
213,ghab jiongb liul panb hlob嘎炯令潘闹（太子参）,热,甜、微苦,热药,冷经,,补气生津
214,vob gha- nb nail葛嘎勒（蜘蛛香）,热,麻、辣,热药,冷经,,健脾利湿、tit bongt替笨（理气）
