from_name,to_name,name
冷经華庭,冷经冷病,属经为
热经晕症,热经热病,属经为
热銓胁痛,热经热病,属经为
冷经胁痛,冷经冷病,属经为
冷病血虚健忘,冷经冷病,属经为
热病心血受损健忘,热经热病,属经为
热经忧郁,热经热病,属经为
冷经忧郁,冷经冷病,属经为
多睡病,热经热病,属经为
热经失瞩,热经热病,属经为
冷经失眠,冷经冷病,属经为
抖症,热经热病,属经为
热经中邪,热经热病,属经为
冷病中邪,热经热病,属经为
妇人热病经来花癲,热经热病,属经为
妇人热病心神不定花癫,热经热病,属经为
妇人热经肝火旺盛龙癫,热经热病,属经为
妇人热病疫迷心窍花癲,热经热病,属经为
便血,冷经冷病,属经为
热经水湿热毒便血,热经热病,属经为
热经便血,热经热病,属经为
冷经便血,冷经冷病,属经为
牙出血,热经热病,属经为
虚火牙出血,热经热病,属经为
肺热出鼻血,热经热病,属经为
胃热鼻出血,热经热病,属经为
肝火旺、鼻出血,热经热病,属经为
热毒咳血,热经热病,属经为
肝火咳血,热经热病,属经为
胃热吐血,热经热病,属经为
肝火吐血,热经热病,属经为
热经风热青紫血斑,热经热病,属经为
热经血热青紫血斑,热经热病,属经为
冷经气虚者紫血斑,冷经冷病,属经为
冷经血虚青紫血斑,冷经冷病,属经为
冷经气虚紫斑,热经热病,属经为
冷经血虚紫斑,热经热病,属经为
热经火旺紫斑,热经热病,属经为
冷经风湿性关节炎,冷经冷病,属经为
热经风湿性关节炎,热经热病,属经为
热湿互结类风湿,热经热病,属经为
热经气滞血瘀美风湿,热经热病,属经为
冷经東湿阻滞类风湿,冷经冷病,属经为
热经痿症,热经热病,属经为
冷经痿症,冷经冷病,属经为
气虚汗症,冷经冷病,属经为
血虚汗症,冷经冷病,属经为
热毒汗症,热经热病,属经为
热痼疽庭,热经热病,属经为
冷病疽症,热经热病,属经为
气血两虚疽症,冷经冷病,属经为
嘈杂热心痛,热经热病,属经为
嘈杂冷心痛,冷经冷病,属经为
嘈杂血虚痼,冷经冷病,属经为
热经燥卵伤肺,热经热病,属经为
热经煤气化火,热经热病,属经为
热经燥邪伤胃,热经热病,属经为
冷经燥湿伤肺,冷经冷病,属经为
冷病内伤血虚发烧,冷经冷病,属经为
冷热并病内伤气虚发烧,热经热病,属经为
热病内伤水液发觉,热经热病,属经为
热痞内伤经脉发蛛,热经热病,属经为
热病内伤血瘀发烧,热经热病,属经为
热病内伤湿毒发烧,热经热病,属经为
热经红白痢,热经热病,属经为
热经壽痢,热经热病,属经为
冷经下痢,冷经冷病,属经为
小儿痞子,热经热病,属经为
冷热并病串串咳,冷热并病,属经为
热经串串咳,热经热病,属经为
串串咳恢复期,冷经冷病,属经为
热经衬耳癢,热经热病,属经为
热经癢書窜耳,热经热病,属经为
水•痘輕症,热经热病,属经为
水痘重型,热经热病,属经为
丹毒,热经热病,属经为
血虚痹病,冷经冷病,属经为
肺、肾两虚痹病,热经热病,属经为
气血两虚肺痹,冷经冷病,属经为
肺痹胸痛,冷经冷病,属经为
九子疡早期,冷经冷病,属经为
九子疡中期,冷热并病,属经为
九子疡晚期,冷经冷病,属经为
蜕虫病,冷经冷病,属经为
肠細虫,冷经冷病,属经为
月旦道蛔虫,热经热病,属经为
