id,name,behave,belongTo,treatment,pharmacy
R24,大肠热疾,腹痛剧烈，呕吐，腹胀,热经热病,疏肝行气，清热利湿，止痛,"一方:仰抵嘎（沙参）20g,娜丽（山药）15g,葛哈收（委陵菜）20g,阿梅棍（苦养头）20g,葛卧俄（地榆）15g,煎水内服。二方:佳嘎陇给（徐长卿）15g,潘豆乃（十大功劳）15g,佳保耶（石菖蒲）10g,葛嘎勒（蜘蛛香）12g,煎水内服。三方:豆卡欧（吴萸）5g,豆比吼哈羌（三颗针）12g,佳保耶（石菖蒲）10g,萬久欧（土三七）10g,佳萬姣米（蕾香）20g,煎水内服。"
R25,早期肠痛,右下肚肠疼痛，怕冷，恶心，呕吐,热经热病,清热解毒，消炎止痛,"一方:红花60g,萬灰萬菲（蒲公英）30g,豆卡欧（吴萸）10g,萬灰秋（土大黄）15g,珍桐（桃仁）15g,煎水内服。二方:佳美勒（败酱草）20g,珍陡（茂仁米）30g,萬灰卡娜（紫花地丁）50g,珍桐（桃仁）10g,煎水内服。三方:榜佳腔（金银花）20g,嘎炯令豆得（水冬瓜根皮）15g,萬灰秋（土太黄）20g,萬灰卡娜（紫花地丁）50g,萬乃略芭（一枝黄花）30g,煎水内服。"
R26,晩期肠痛,右下腹疼痛，皮肤隆起,冷经冷病,行气排毒，活血化瘀,"一方:嘎炯芒桑（棉花根）30g,佳欧芜（党参）30g,播整路（皂角刺）15g,萬灰萬菲（蒲公英）50g,佳美勒（败酱草）50g,煎水内服。二方:黄芷30g,红花20g,榜佳腔（金银花）20g,萬灰卡娜（紫花地丁）30g,煎水内服。三方:珍陡（茵仁米）50g,佳美勒（败酱草）30g,附子15g,佳欧芜（党参）20g,萬布套学（血人参）20g,煎水内服。"
R27,热经腹痛,腹部疼痛，恶食,热经热病,清热除湿，止痛,"一方:佳格勒（紫背天葵）12g,鲜品捣烂，开水吞服。二方:珍姜（木姜子）6g,苞脚桑（地苦胆）6g,葛项嘎（鸡矢藤）12g,嘎龚珍宫幼（五香血藤）10g,隔山消10g,磨成细粉。三方:仰松芭（香附）10g,豆卡欧（吴萸）6g,嘎炯豆收（香樟根）10g,豆姜额（苦楝）10g,山乌龟12g,煎水内服。"
R28,冷经腹痛,肚腹疼痛，时痛时止,冷经冷病,散寒止痛,"一方:佳蒙枪（青木香）6g,嘎炯令潘闹（太子参）10g,良姜10g,葛冲岗（白花蛇舌草）12g,二方:珍莎（花椒）4g,佳欧芜（党参）12g,M嘎勒（蜘蛛香）15g,桂枝10g,凯（干姜）10g,佳保耶（石菖蒲）12g,煎水内服。三方:葛嘎勒（蜘蛛香）12g,科纳（制半夏）10g,佳蒙枪（木香）6g,豆卡欧（吴萸）6g,仰松芭（香附）10g,陈皮8g,煎水内服。"
R29,热经腹泻,泻泄，肠鸣，腹痛欲解，解后痛减,热经热病,清热利湿，收敛止泻,"一方:萬米仰（马齿苑）15g,嘎炯菲（葛根）50g,葛哈收（委陵菜）10g,芍药（白芍）12g,煎水内服。二方:珍布渴（刺梨根）50g,煎水内服。三方:阿龚豆榴（石榴皮）10g,凯（干姜）10g,红糖50g,煎水内服。"
R30,冷经腹泻,大便次数增多，便清稀，肠鸣即泻，泻后则安,冷经冷病,补益止泻,"一方:大蒜10g,白酒5ml,白糖20g,捣烂吞服。二方:厚朴10g,苞姜给打（茯苓）20g,佳欧芜（党参）30g,粟壳10g,煎水内服。三方:萬勇哥（骚羊古）20g,阿梅棍（苦养头）20g,芍药（白芍），珍访象（山楂）15g,嘎腔赶芒（麦芽）15g,煎水内服。"
R31,冷经俗象,食后4小时以上反胃，吐出未化食物及清水，吐后舒适,冷经冷病,消食化积，温胃散寒，健脾补中,"一方:萬嘎勒（蜘蛛香）15g,佳保耶（石菖蒲）10g,佳嘎陇给（徐长卿）12g,凯（干姜）8g,陈皮10g,煎水内服。二方:糯独佳开都（水黄连）8g,豆卡欧（吴萸）12g,陈皮10g,科辣（制半夏）12g,生姜10g,佛花（水葵花）10g,煎水内服。三方:珍姜（木姜子）10g,珍豆蟒（路路通）15g,豆写棒（厚朴）10g,萬勇哥（骚羊古）15g,萬里略芭（小远志）10g,竹茹12g,煎水内服。"
R32,热经俗象,腹胀，反胃，口吐清水,热经热病,消食化滞，理气和胃，养心安神,"一方:三棱10g,莪术10g,小种三七15g,佳莪罢（七叶莲）20g,达柯芍（赤芍）10g,煎水内服。二方:姬佳诺（阳雀花）20g,娜丽（山药）12g,科辣（制半夏）10g,穿心莲15g,煎水内服。三方:岗馒蚱（土鳖虫）12g,萬巴象（糯米团）20g,佳欧芜（党参）20g,娜丽（山药）20g,煎水内服。"
R33,热病呕吐,恶心呕吐，腹部疼痛,热经热病,和胃，止呕,"一方:生姜汁20g,黄连10g,磨水冲服。二方:科辣（制半夏）15g,生姜15g,煎水内服。三方:萬嘎勒（蜘蛛香）15g,阿梅棍（苦养头）15g,萬项嘎（鸡矢藤）15g,煎水内服。"
R34,冷痔呕吐,进食即吐，或食之也难以消化,冷经冷病,益气降逆，止呕,"一方:萬阿苯（土人参）20g,姜加莪董（麦冬）15g,科辣（制半夏）15g,凯（干姜）10g,煎水内服。二方:榜拉梯（枇杷叶）15g,竹茹10g,Bl（干姜）10g,煎水内服。三方:陈皮皿,科辣（制半夏）10g,萬疗（辣蓼）血,豆比吼哈羌（三颗针）12g,萬里略芭（小远志）10g,煎水内服。"
R35,热经煜热吐血,吐血，腹胀，腹痛，大便黑色,热经热病,清胃泻火，凉血止血,"一方:生石膏30g,葛灰秋（土大黄）20g,煎水内服。二方:朗访幼（石斛）15g,萬久欧（土三七）10g,潘豆乃（十大功劳）15g,煎水内服。三方:萬布罢确（大蓟）20g,萬仰西（茜草）15g,乌旧（白及）20g,萬久欧（土三七）20g,煎水内服。"
R36,热经热毒吐血,上腹闷胀，疼痛，吐血，口苦，心烦,热经热病,清热和胃，清肝泻火，止血,"一方:佳架山（龙胆草）20g,珍陆（梔子）15g,嘎佬豆金（山枝茶）12g,萬布罢确（大蓟）2g,煎水内服。二方:萬坝仰（夏枯草）20g,嘎龚布梭学嘎八（见血飞）15g,萬里略芭（小远志）10g,卷柏15g,煎水内服。三方:仰蜡烛（蒲黄）20g,嘎龚布梭学嘎八（见血飞）15g,豆嘎先（紫珠草）20g,波嘎梯（百合）20g,煎水内服。"
R37,热经吐酸水,口吐酸水,热经热病,疏肝和胃，消食化积,"一方:糯独佳开都（水黄连）6g,佳架山（龙胆草）15g,竹茹10g,珍陆（梔子）6g,姜加莪董（麦冬）15g,煎水内服。二方:佳嘎陇给（徐长卿）15g,佳保耶（石菖蒲）8g,隔山消15g,凯（干姜）8g,萬嘎勒（蜘蛛香）15g,煎水内服。三方:香樟根10g,佳欧芜（党参）15g,豆阿潘（铁扫帚）12g,闹格（玉竹）12g,佳蒙枪（青木香）10g,煎水内服。"
R38,冷病吐酸水,腹胀，口吐酸水,冷经冷病,温胃散寒，健脾和胃,"一方:凯（干姜）10g,厚朴10g,萬嘎勒（蜘蛛香）15g,肉桂5g,煎水内服。二方:佳欧芜（党参）15g,苞姜给打（茯苓）12g,佳蒙枪（木香）10g,嘎龚真宫幼（五香血藤）12g,阿梅棍（苦养头）15g,煎水内服。"
R39,热经打隔,不停打嗝，声音洪亮,热经热病,清热，顺气降逆,"一方:豆比吼哈羌（三颗针）15g,生姜10g,煎水内服。二方:生石膏30g,朗访幼（石斛）10g,竹茹煎水内服。三方:鸡内金6g,隔山消10g,加盐研末，取少许开水送下。"
R40,冷经打隔,打嗝不停，声音较为缓和,冷经冷病,温中养胃，降逆,"一方:岗哄耐（九香虫）10g,萬嘎勒（蜘蛛香）12g,姬佳诺（阳雀花）10g,苞姜给打（茯苓）12g,豆写棒（厚朴）,煎水内服。二方:萬嘎勒（蜘蛛香）1源,香樟6g,生姜10g,煎水内服。三方:柿蒂20g,刀豆壳10g,隔山消10g,煎水内服。"
R41,冷经便血,便血，或大便色黑，肚腹隐痛,冷经冷病,祛寒温中，健脾和胃,"一方:泡参20g,佳嘎陇给（徐长卿）15g,加嘎吉给（仙鹤草）20g,芮加扫象（九龙盘）15g,煎水内服。二方:姬佳诺（阳雀花）20g,萬卧俄（地榆）15g,娜丽（山药）20g,佳欧芜（党参）20g,嘎龚布梭学嘎八（见血飞）12g,煎水内服。三方:佳欧芜（党参）20g,娜丽（山药）15g,槐花15g,萬卧俄（地榆）15g,苞姜给打（茯苓）20g,煎水内服。"
R42,热经便血,便血，血色不鲜或紫黑色,热经热病,清热利湿，凉血止血,"一方:豆比吼哈羌（三颗针）15g,豆嘎里访（黄柏）15g,三七20g,煎水内服。二方:佳姜给（荆芥穗）20g,苞姜给打（茯苓）20g,珍陆（梔子）15g,达柯芍（赤芍）15g,煎水内服。三方:萬仰西（茜草）20g,萬溜妮（地苍）15g,朗萬跃（蚊母草）15g,臭牡丹20g,嘎龙布梭学嘎八（见血飞）15g,煎水内服。"
R43,热经便秘,腹胀痛，大便排出不尽或排便困难,热经热病,"清热,理气，通便","一方:萬灰秋（大黄粉）5g,达柯芍（赤芍）15g,煎水内服。二方:珍瓢嘎享额（郁李仁）15g,潘豆乃（十大功劳）20g,佳珍嘎佬苑（果上叶）20g,煎水内服。三方:窝达尚（莺尾）3g,珍佳俄董（麦冬）10g,珍佳俄确（天冬）10g,珍桐（桃仁）15g,煎水内服。"
R44,冷经气血两亏便秘,大便干结，虽有便意，但排便困难,冷经冷病,养血，温气补中，通便,"一方:董岗哇（蜂蜜）30g,麻油15g,鸡蛋1个，冲蛋内服。二方:珍萬嘎（火麻仁）20g,煎水内服。三方:董岗哇（蜂蜜），珍桐（桃仁）适量，桃仁捣烂加蜂蜜冲服。"
R45,热经黄疸,皮肤、眼珠、小便发黄,热经热病,清热利湿，退黄,"一方:萬勇哥（骚羊古）15g,萬鼾（茵陈）10g,佳架山（龙胆草）8g,珍绿（梔子）10g,萬拿（刺桑）10g,萬灰秋（大黄）10g,煎水内服。二方:萬油欧（野油菜）20g,珍绿（梔子）10g,萬鼾（茵陈）15g,萬灰秋（土大黄）15g,M里八降（车前草）15g,M比赊幼（金钱草）15g,煎水内服。"
R46,冷经簧疸,全身及眼珠发黄，肚腹胀痛,冷经冷病,利湿和胃，退黄,"一方:珍姜（牛筋树）15g,M勇哥（骚羊古）12g,煎水加蜂蜜内服。二方:豆伦累（钓鱼杆）1颱,芍药（白芍）8g,豆萬播（地骨皮）血,佳加嘎收（阴行草）10g,嘎炯珍皆梦（拂猴桃根）20g,萬它信（冬葵子）10g,煎水内服。三方:仰德着（地耳草）10g,芍药（白芍）奨,佳珍嘎佬苑（果上叶）20g,萬勇哥（骚羊古）12g,珍发秋（木瓜）6g,葛鼾（茵陈）10g,煎水内服。"
R47,热经水朦病,肚大青筋显露，下肢水肿,热经热病,行气化瘀，利水,"一方:葛比赊溜（连钱草）20g,葛里八降（车前草）15g,仰嘎姬（白茅根）20g,萬里料（石韦）12g,田基黄12g,黑丑10g,白丑10g，煎水内服。二方:萬比甘（商陆）10g,萬达赊（鸭屁股）2g,珍姜（木姜子）8g,嘎炯令潘闹（太子参）15g,煎水内服。三方:搜档索（四季红）16g,红枣20g,W里八降（车前草）15g,佳腔（海金沙）15g,黑丑10g,白丑10g,姬佳诺（阳雀花）20g,煎水内服。"
R48,冷经水朦病,肚大青筋，不能平卧,冷经冷病,攻下利水,"一方:佳加嘎收（阴行草）30g,豆野给（六月雪）30g,丹参30g,煎水内服。二方:佳劳给（马鞭草）30g,萬迷沙又（半边莲）30g,豆萬纳（穿破石）30g,煎水内服。三方:仰抵嘎（杏叶沙参）50g,萬里略（连翘）20g,珍瓢嘎享额（郁李仁）20g，煎水内服。"
R49,冷经气虚痛肾,全身浮肿，肚大腹水，气短无力,冷经冷病,补气养血，利水消肿,"一方:桂枝5g,苞姜给打（茯苓）10g,嘎炯芒桑（棉花根）12g,萬里八降（车前草）10g,煎水内服。二方:姬佳诺（阳雀花）20g,桂枝6g,豆阿潘（铁扫帚）20g,凯（干姜）10g,附片10g,煎水内服。三方:佳俄滞（淫羊蕾）8g,嘎罢嗟姜（菟丝子）10g,黑丑10g,白丑10g,头郎（刀豆子）8g,佳欧芜（党参）10g,煎水内服。"
R50,热经风热痛肾,腰痛眼皮水肿，发烧，怕风,热经热病,疏风解表，利水消肿,"一方:麻黄4g,桂枝3g,团经药20g,珍蟒（杏仁）6g,萬相学（牛莠子）8g,煎水内服。二方:榜佳腔（金银花）奖,葛壳欧（薄荷）5g,莒祖别芭（白花前胡）15g,蝉衣5g,佳姜给（荆芥）5g,煎水内服。三方:板蓝根8g,佳比利吉（八爪金龙）8g,豆萬岗（桑白皮）15g,珍蟒（杏仁）5g,麻黄3g,煎水内服。"
R51,热经湿热痛肾,"腰痛，全身水肿,下肢皮肤发亮，肚腹胀闷",热经热病,清热利湿，通利小便,"一方:潘豆乃（十大功劳）8g,榜佳腔（金银花）8g,野蔷薇果20g,榜萬芜（菊花）5g，佳格勒（天葵子）5g,煎水内服。二方:萬鼾（茵陈）8g,佳萬姣米（蕾香）7g,桃花10g,厚朴5g,萬里八降（车前草）6g,煎水内服。三方:萬佳嘎强溜（篇蓄）6g,豆嘎里访（黄柏）6g,萬比赊幼（金钱草）8g,葛灰秋（土大黄）4g,煎水内服。"
R52,热经尿路瘪痛,"小便疼痛,次数多,尿急",热经热病,清热利湿，消炎止痛,"一方:葛佳嘎强确（篇蓄）15g,萬里八降（车前草）15g,萬榜肖妖（生扯拢）20g,嘎溜给丢（玉米须）20g,煎水内服。二方:萬鼾嘎玛（凤尾草）15g,仰嘎姬（白茅根）20g,佳腔（海金沙）20g,加嘎吉给（仙鹤草）15g,萬里八降（车前草）20g,煎水内服。三方:榜瓦格（鸡冠花）15g,豆嘎里访（黄柏）10g,萬里料（石韦）15g,萬嘎里（旱莲草）10g,潘豆乃（十大功劳）15g,萬布罢确（大蓟）10g,煎水内服。"
R53,冷经尿路疼痛,小便次数多，尿急，腰酸腹胀,冷经冷病,滋肝补肾，行气止痛,"一方:佳欧芜（党参）15g,苞姜给打（茯苓）20g,娜丽（山药）15g,煎水内服。二方:萬嘎勒（蜘蛛香）1麾,珍布仰（金樱子）20g,M比赊溜（大马蹄草）15g,凯欧（黄精）20g,煎水内服。"
R54,热经尿血,尿中有血，小便时热辣刺痛,热经热病,清热降火，凉血止血,"一方:萬布罢又（小蓟）20g,仰蜡鸠（蒲黄）18g,珍陆（梔子）15g,萬里八降（车前草）20g,煎水内服。二方:珍桐（桃仁）15g,达柯芍（赤芍）15g,搜档索（一点红）20g,天胡荽30g,仰蜡烛（蒲黄）20g,煎水内服。三方:机衣（女贞子）15g,萬嘎里（旱莲草）15g,豆比吼哈羌（三颗针）10g,仰格陇给（竹叶）20g,煎水内服。"
